thickness,TransportTimeAfterHeating,EnforcedTemperatureOfEntireSheet,QuenchingTimeInTool,QuenchingForce,spacing,DefaultToolTemperature,HARDNESS P1,THICKNESS P2
1.4915,13.6712,946.4922,5.434,1013005.0388,1.2956,214.7918,476.6667,1.4632
1.4746,16.6505,911.331,7.9279,789619.2756,0.5663,191.9944,401.3333,1.4502
1.4885,17.4751,940.9099,7.0002,1255596.2643,1.1541,183.5872,439.3333,1.4642
1.4957,18.77,906.6957,3.921,515208.8624,1.413,107.097,401,1.4714
1.4641,18.9422,949.2988,7.8709,637438.2264,1.9353,261.4069,422.3333,1.443
1.5493,11.5661,938.2876,3.703,1890245.1983,0.3328,196.6968,483.6667,1.5101
1.485,22.4351,923.66,7.3841,1913116.5226,0.253,238.428,392,1.4567
1.4882,19.1301,943.6415,6.7944,1159144.3461,0.9346,282.684,413.3333,1.4626
1.5356,24.2272,916.2992,2.9064,1897882.4739,1.5362,149.4012,393.3333,1.5085
1.5187,22.5616,930.2188,9.984,646605.5611,1.3425,282.2967,395.6667,1.4915
1.53,16.0458,914.7526,8.2008,1552996.8688,1.1686,85.5014,426.3333,1.498
1.454,19.9188,931.2055,4.568,1065592.2484,1.2512,226.4854,421.3333,1.4316
1.5469,24.594,928.4381,7.1917,765501.2993,0.8888,203.6555,392,1.5199
1.4986,23.9666,912.853,2.8178,984497.4185,1.0835,236.4337,387,1.4749
1.5486,24.85,931.3897,7.9149,1559268.8141,1.7157,285.2865,385,1.5166
1.5153,18.9034,939.7332,3.9025,1486988.0125,1.3208,201.5765,423.3333,1.4873
1.5223,21.7732,920.5302,6.4105,826995.6956,1.8705,166.799,398.3333,1.4967
1.5245,16.3019,900.956,9.6505,822990.2546,0.1506,192.8956,414.3333,1.4909
1.549,24.7855,910.0822,7.0409,925953.58,1.5731,263.6939,364.3333,1.5208
1.4687,20.4411,913.5958,6.4306,805609.1927,1.8687,85.7298,399.6667,1.4463
1.4643,23.8581,947.3358,9.1026,1358128.6476,0.8208,286.6572,420.3333,1.4408
1.4898,20.8924,915.6911,8.9607,1800648.3454,0.6909,116.5289,400.6667,1.4648
1.5137,21.3134,901.9027,5.6088,542125.9962,1.8498,255.1765,359.3333,1.4867
1.5429,11.2822,906.1995,3.5371,564670.0497,1.8125,163.4906,460.6667,1.5133
1.5131,19.4486,919.5503,2.3448,1343895.8893,1.7219,264.7986,409.3333,1.487
1.4576,24.0831,920.0545,8.5182,1934904.5108,0.3027,108.9579,398,1.4313
1.5427,21.7917,945.3935,9.1002,1280805.5266,1.6451,138.1953,425.6667,1.5153
1.5352,18.001,906.4676,5.9307,1692710.7739,0.3267,221.4511,408,1.5013
1.4937,15.5515,944.2435,6.1695,510714.5559,1.3711,208.2554,457.3333,1.4688
1.4782,19.5718,924.9644,9.4633,1840673.4278,1.5755,169.1111,421,1.4538
1.5221,22.5418,945.4405,8.4682,1108007.0068,1.0717,102.4138,415,1.4977
1.5138,24.2942,915.5218,6.1256,831440.9541,0.9303,246.784,378,1.4854
1.5437,11.2788,943.3143,7.5365,1966901.983,1.1762,90.3096,486.3333,1.5078
1.4878,13.9266,913.2833,7.1766,669926.6941,0.2904,207.1131,435,1.459
1.4926,16.2566,900.2506,8.6851,1704637.5057,1.6131,219.9121,413,1.4661
1.5206,17.8685,911.8901,5.3613,673475.633,1.0989,142.3838,401,1.4945
1.5026,21.1751,935.0787,4.3848,1513702.0631,1.3787,295.5964,413,1.4753
1.5076,10.6017,920.7476,2.5933,951395.6188,0.7251,268.2624,446,1.4779
1.5466,21.4323,940.9655,6.1357,1096630.9949,0.7689,147.1649,417,1.5208
